"LOCATION_ID","lat","long","classification","EVC","EVH","EVT","HUC_08_ID","hli","soilorder","landform","ocs","cc_pct"
"site_1",60.8924362813344,-152.190194900026,0,105,110,3679,19020600,200,24,1000,94,55
"site_2",59.9729207565096,-151.577094718615,0,104,109,3677,19020300,0,3,6000,94,45
"site_3",61.0433532490665,-151.481963130027,0,106,109,3677,19020600,0,24,6000,89,65
"site_4",60.337816424919,-152.707355009094,0,105,110,3677,19020602,100,16,1000,88,55
"site_5",60.513796389078,-152.344345802781,0,103,110,3677,19020600,100,24,7000,90,35
"site_6",62.1121687741119,-151.684892552709,0,103,110,3677,19020504,0,16,5000,82,35
"site_7",60.285264980798,-151.381980638904,0,104,109,3679,19020300,200,24,6000,0,45
"site_8",61.9949386295343,-150.809843634448,0,101,110,3679,19020504,0,24,1000,84,15
"site_9",60.8288355592187,-150.724683345514,0,102,110,3679,19020302,0,24,6000,84,25
"site_10",61.8033279794316,-150.896081901724,0,104,109,3677,19020504,100,24,7000,102,45
"site_11",61.8744745499339,-151.161534068181,0,104,109,3679,19020504,0,24,5000,89,45
"site_12",60.5418238259425,-152.34272883527,0,109,110,3644,19020600,100,24,9000,98,95
"site_13",59.4013227412244,-151.735827029319,0,101,110,3644,19020300,100,16,3000,85,15
"site_14",62.2396397129284,-151.918544358109,0,105,110,3677,19020504,0,16,9000,95,55
"site_15",59.5290631746262,-151.412433527036,0,102,110,3644,19020300,0,16,4000,97,25
"site_16",61.36728574052,-151.847397787606,0,104,110,3679,19020600,200,35,3000,113,45
"site_17",61.6117173293289,-151.324578292249,0,104,109,3679,19020504,0,24,8000,91,45
"site_18",59.7066601062966,-151.383597606416,0,102,110,3677,19020300,100,3,4000,93,25
"site_19",59.2738518024078,-151.726933708006,0,108,110,3644,19020300,100,16,1000,76,85
"site_20",61.1153083033244,-151.589491469536,0,106,110,3679,19020600,200,24,8000,96,65
"site_21",59.9659138972935,-150.963455548033,0,105,110,3679,19020300,100,3,3000,98,55
"site_22",60.0817965689449,-150.62928226234,0,104,110,3679,19020300,100,16,4000,86,45
"site_23",60.1122494570766,-150.991482984897,0,101,110,3679,19020300,0,3,4000,94,15
"site_24",60.480648555094,-149.992736052013,0,104,109,3679,19020302,0,16,2000,78,45
"site_25",59.9400424171109,-151.498941288896,0,103,110,3677,19020300,0,3,5000,100,35
"site_26",59.808798554101,-151.556882624722,0,103,110,3677,19020300,100,3,8000,101,35
"site_27",60.1160223812699,-152.72568064089,0,104,110,3644,19020602,0,16,1000,90,45
"site_28",62.0216185934726,-151.991846885293,0,107,110,3679,19020504,200,16,1000,103,75
"site_29",60.8299135375597,-152.341920351514,0,101,110,3677,19020600,0,16,1000,92,15
"site_30",59.8829095650409,-151.533706090392,0,102,110,3679,19020300,0,3,8000,102,25
"site_31",59.9524391680317,-150.907400674304,0,103,110,3677,19020300,0,16,1000,85,35
"site_32",59.7999052327882,-151.738252480586,0,104,109,3677,19020300,0,3,6000,92,45
"site_33",59.9680698539754,-150.770766919589,0,106,110,3679,19020300,100,16,6000,83,65
"site_34",61.8669287015472,-148.32133063438,0,105,110,3600,19020402,200,16,3000,102,55
"site_35",61.1689377257864,-149.674193452264,0,101,110,3679,19020400,200,24,1000,93,15
"site_36",61.085124909778,-151.41728442957,0,105,110,3677,19020600,100,24,6000,102,55
"site_37",59.4188398892647,-151.410816559524,0,109,110,3644,19020300,100,16,3000,72,95
"site_38",59.6250032469702,-151.078260241343,0,106,110,3679,19020300,200,16,1000,89,65
"site_39",59.5161274345349,-151.207887136842,0,102,110,3679,19020300,100,16,1000,82,25
"site_40",61.6831333944164,-149.587146701233,0,104,110,3679,19020504,200,24,1000,93,45
"site_41",60.2626274356382,-150.364099590468,0,105,110,3677,19020302,200,24,1000,81,55
"site_42",60.61889927732,-152.575302662328,0,105,110,3679,19020600,200,16,1000,86,55
"site_43",59.3075386255623,-151.232141649513,0,109,110,3644,19020202,200,16,4000,0,95
"site_44",60.8078149815703,-151.98295356398,0,104,109,3679,19020600,0,24,5000,80,45
"site_45",61.9181326727421,-148.307855905119,0,103,110,3600,19020402,200,16,2000,87,35
"site_46",60.289846388747,-150.530647244144,0,104,110,3679,19020302,100,24,7000,83,45
"site_47",60.5367034288231,-150.543852478821,0,104,109,3677,19020302,0,24,7000,80,45
"site_48",60.0842220202121,-151.024900313467,0,106,110,3677,19020300,0,3,2000,100,65
"site_49",61.8019805065054,-149.704107351226,0,103,110,3600,19020504,200,24,6000,89,35
"site_50",59.9448933196451,-151.567931902717,0,104,109,3679,19020300,0,3,6000,100,45
"site_51",59.4921424164489,-151.228099230734,0,108,110,3644,19020300,100,16,6000,79,85
"site_52",62.0043709400175,-149.385564751477,0,106,110,3677,19020504,100,16,1000,97,65
"site_53",62.3493240091194,-151.439113490974,0,101,110,3601,19020504,200,16,6000,83,15
"site_54",59.4824406113804,-151.381711144319,0,101,110,3644,19020300,100,16,3000,75,15
"site_55",59.2978368204938,-151.421596342934,0,107,110,3644,19020202,200,16,1000,91,75
"site_56",59.8624279765629,-151.406235151575,0,102,110,3679,19020300,200,3,4000,103,25
"site_57",62.2086478356263,-151.871921794863,0,105,110,3679,19020504,0,16,7000,80,55
"site_58",60.8444662451624,-150.205097785179,0,103,110,3677,19020302,0,24,7000,84,35
"site_59",61.2721541519317,-151.99481132573,0,105,110,3679,19020600,100,16,1000,109,55
"site_60",61.3794129968556,-148.591364208787,0,108,110,3679,19020402,100,35,1000,80,85
"site_61",61.7488900732139,-150.598559879623,0,104,110,3679,19020504,0,24,8000,92,45
"site_62",61.1215066787849,-149.908384246834,0,105,108,3600,19020400,0,24,6000,76,55
"site_63",60.2073810456648,-150.325022875609,0,106,110,3679,19020302,100,16,1000,83,65
"site_64",60.1594110094929,-151.177703743295,0,105,110,3600,19020300,200,24,7000,85,55
"site_65",59.7982882652768,-150.548703381355,0,106,110,3679,19020300,200,35,1000,80,65
"site_66",60.0386774353072,-150.952945259209,0,103,110,3677,19020300,100,3,6000,92,35
"site_67",60.0397554136481,-152.603060604608,0,106,110,3679,19020602,0,16,1000,88,65
"site_68",59.9149794206839,-151.357456631648,0,104,109,3679,19020300,100,3,1000,92,45
"site_69",60.2739462082181,-150.404793272839,0,104,110,3679,19020302,0,24,1000,81,45
"site_70",59.2997232825905,-151.043764934433,0,109,110,3644,19020202,200,16,1000,74,95
"site_71",60.6544725625711,-150.962647064277,0,103,110,3679,19020302,200,24,7000,80,35
"site_72",61.3721366430542,-151.406774140746,0,107,110,3677,19020600,100,24,6000,90,75
"site_73",61.7709886292033,-151.166654465301,0,104,110,3677,19020504,0,24,6000,94,45
"site_74",62.2439516262922,-152.345154286537,0,105,110,3677,19020504,200,16,7000,94,55
"site_75",61.5408402534119,-151.654709159163,0,105,110,3679,19020600,200,16,7000,104,55
"site_76",61.9173241889863,-151.858716560186,0,105,110,3679,19020504,200,16,4000,89,55
"site_77",61.4211846575671,-151.182015656659,0,104,109,3677,19020600,0,24,5000,96,45
"site_78",59.4665404308515,-151.25208424882,0,108,110,3644,19020300,200,16,1000,66,85
"site_79",61.852914983115,-147.928407529107,0,106,110,3600,19020402,100,16,1000,87,65
"site_80",61.2179857402993,-151.92528172274,0,106,110,3677,19020600,0,16,5000,99,65
"site_81",61.5241315891272,-150.927612768196,0,101,110,3679,19020600,200,24,4000,108,15
"site_82",61.2608353793518,-151.630454646492,0,103,110,3677,19020600,0,24,6000,103,35
"site_83",61.9194801456682,-151.800775224361,0,105,110,3679,19020504,100,16,9000,95,55
"site_84",62.3393527094657,-150.941895981214,0,104,109,3679,19020504,0,16,8000,93,45
"site_85",59.3326016219892,-151.448006812287,0,109,110,3644,19020202,200,16,2000,77,95
"site_86",59.6907599257677,-151.474686776225,0,106,110,3677,19020300,0,3,4000,97,65
"site_87",61.9410397124871,-151.918005368938,0,101,109,3679,19020504,0,16,7000,91,15
"site_88",59.2924469287891,-150.927612768196,0,107,110,3644,19020202,200,16,1000,84,75
"site_89",60.0599675075408,-151.475495259981,0,104,109,3679,19020300,0,24,5000,85,45
"site_90",62.1251045142032,-152.257029557165,0,101,110,3677,19020504,100,16,1000,93,15
"site_91",61.833511372978,-148.114358792919,0,106,110,3603,19020402,200,16,1000,97,65
"site_92",61.7354153439521,-150.911443093082,0,104,108,3677,19020504,0,24,7000,96,45
"site_93",62.0787514455426,-149.48096583465,0,103,110,3600,19020504,200,24,1000,107,35
"site_94",60.0645489154898,-151.362577028767,0,104,109,3679,19020300,0,3,7000,94,45
"site_95",62.1768474745685,-152.223881723181,0,104,110,3679,19020504,200,16,1000,90,45
"site_96",61.4217236467376,-149.90865374142,0,106,110,3679,19020400,100,24,7000,86,65
"site_97",60.8393458480429,-150.196743453037,0,106,110,3677,19020302,200,24,6000,85,65
"site_98",61.3133868234728,-149.195032079715,0,105,110,3603,19020400,200,24,1000,108,55
"site_99",61.8054839361135,-148.49784958771,0,105,110,3677,19020402,200,24,2000,87,55
"site_100",61.3610873650595,-151.439652480145,0,101,109,3679,19020600,0,24,7000,94,15
"site_101",61.8281214812733,-148.561719804411,0,106,110,3603,19020402,200,24,3000,93,65
"site_102",61.6629213005237,-150.795829916016,0,101,110,3677,19020504,100,24,7000,90,15
"site_103",62.3754649838873,-151.488969989243,0,105,110,3601,19020504,100,16,9000,83,55
"site_104",61.9995200374833,-151.70348767909,0,101,110,3677,19020504,0,16,5000,91,15
"site_105",60.7927232847971,-150.528221792877,0,105,110,3677,19020302,0,24,6000,80,55
"site_106",60.6221332123428,-151.319727389715,0,104,110,3679,19020302,0,24,5000,91,45
"site_107",60.1648009011976,-149.631074318627,0,105,110,3601,19020202,100,35,3000,80,55
"site_108",60.6552810463268,-151.142130458044,0,106,110,3679,19020302,0,24,5000,78,65
"site_109",59.2754687699193,-151.43992197473,0,109,110,3644,19020202,200,16,1000,76,95
"site_110",59.8120324891238,-151.443155909753,0,106,109,3677,19020300,0,3,7000,93,65
"site_111",60.3302705765324,-148.869752115335,0,108,110,3644,19020200,100,16,6000,86,85
"site_112",61.8812119145647,-151.140513490533,0,103,110,3677,19020504,200,24,6000,96,35
"site_113",60.346979240817,-152.476128654962,0,109,110,3644,19020602,100,24,2000,98,95
"site_114",59.6931853770348,-151.452318725651,0,103,110,3677,19020300,0,3,3000,101,35
